yr,rb,ps,idx,ib,cb,hr,hb,fuku
2022,2,0,68,1,0,0,0,1
2022,4,0,52,1,0,0,0,1
2022,3,0,54,1,0,0,0,0
2022,4,0,46,1,0,0,0,0
2022,4,0,43,1,0,0,0,0
2022,3,0,53,1,0,0,0,0
2022,4,0,42,1,0,0,0,0
2022,4,0,48,1,0,0,0,0
2022,4,0,49,1,0,0,0,0
2022,3,0,57,1,0,0,0,1
2022,4,0,41,1,0,0,0,0
2022,4,0,40,1,0,0,0,0
2022,1,0,87,4,0,0,0,0
2022,2,0,65,1,0,0,0,0
2022,4,0,47,1,0,0,0,0
2022,4,0,48,1,0,0,0,0
2022,1,0,74,1,0,0,0,1
2022,3,0,56,1,0,0,0,1
2022,4,0,41,1,0,0,0,0
2022,3,0,55,1,0,0,0,0
2022,4,0,46,1,0,0,0,0
2022,4,0,54,1,0,0,0,0
2022,2,0,70,1,0,0,0,1
2022,4,0,49,1,0,0,0,0
2022,4,0,50,1,0,0,0,0
2022,2,0,65,1,0,0,0,0
2022,4,0,40,1,0,0,0,0
2022,3,0,61,1,0,0,0,0
2022,3,0,56,1,0,0,0,1
2022,4,0,48,1,0,0,0,0
2022,2,0,69,1,0,0,0,1
2022,4,0,46,1,0,0,0,0
2022,4,0,51,1,0,0,0,0
2022,4,0,54,1,0,0,0,0
2022,1,0,72,1,0,0,0,0
2022,3,0,57,1,0,0,0,0
2022,3,0,55,1,0,0,0,0
2022,4,0,49,1,0,0,0,0
2022,4,0,50,1,0,0,0,0
2022,4,0,52,1,0,0,0,0
2022,4,0,47,1,0,0,0,0
2022,2,0,62,1,0,0,0,1
2022,3,0,58,1,0,0,0,0
2022,2,0,60,1,0,0,0,0
2022,1,0,71,1,0,0,0,0
2022,4,0,53,1,0,0,0,0
2022,4,0,51,1,0,0,0,0
2022,2,0,69,1,0,0,0,1
2022,4,0,41,1,0,0,0,0
2022,4,0,54,1,0,0,0,0
2022,4,0,40,1,0,0,0,0
2022,4,0,46,1,0,0,0,0
2022,3,0,56,1,0,0,0,1
2022,4,0,47,1,0,0,0,0
2022,4,0,49,1,0,0,0,0
2022,4,0,51,1,0,0,0,0
2022,4,0,50,1,0,0,0,0
2022,3,0,55,1,0,0,0,1
2022,4,0,54,1,0,0,0,0
2022,4,0,46,1,0,0,0,0
2022,2,0,65,1,0,0,0,1
2022,4,0,52,1,0,0,0,0
2022,3,0,57,1,0,0,0,0
2022,2,0,64,1,0,0,0,1
2022,4,0,53,1,0,0,0,0
2022,4,0,49,1,0,0,0,0
2022,3,0,56,1,0,0,0,0
2022,1,0,82,3,0,0,0,0
2022,4,0,48,1,0,0,0,0
2022,4,0,47,1,0,0,0,0
2022,3,0,54,1,0,0,0,0
2022,3,0,55,1,0,0,0,1
2022,4,0,48,1,0,0,0,0
2022,4,0,53,1,0,0,0,0
2022,4,0,42,1,0,0,0,0
2022,4,0,52,1,0,0,0,0
2022,4,0,40,1,0,0,0,0
2022,3,0,58,1,0,0,0,1
2022,4,0,50,1,0,0,0,0
2022,4,0,51,1,0,0,0,0
2022,2,0,67,1,0,0,0,0
2022,1,0,74,1,0,0,0,0
2022,4,0,41,1,0,0,0,0
2022,2,0,68,1,0,0,0,1
2022,4,0,47,1,0,0,0,0
2022,4,0,49,1,0,0,0,0
2022,4,0,42,1,0,0,0,0
2022,4,0,52,1,0,0,0,0
2022,4,0,50,1,0,0,0,0
2022,4,0,53,1,0,0,0,0
2022,1,0,70,1,0,0,0,1
2022,4,0,47,1,0,0,0,0
2022,3,0,60,1,0,0,0,0
2022,4,0,48,1,0,0,0,1
2022,3,0,59,1,0,0,0,0
2022,4,0,43,1,0,0,0,0
2022,4,0,41,1,0,0,0,0
2022,3,0,56,1,0,0,0,0
2022,4,0,40,1,0,0,0,0
2022,2,0,62,1,0,0,0,1
2022,4,0,54,1,0,0,0,0
2022,2,0,67,1,0,0,0,0
2022,4,0,50,1,0,0,0,0
2022,3,0,56,1,0,0,0,0
2022,1,0,86,4,0,0,0,1
2022,4,0,51,1,0,0,0,0
2022,4,0,41,1,0,0,0,0
2022,4,0,40,1,0,0,0,0
2022,3,0,53,1,0,0,0,0
2022,4,0,52,1,0,0,0,0
2022,2,0,71,1,0,0,0,1
2022,4,0,47,1,0,0,0,0
2022,4,0,48,1,0,0,0,0
2022,4,0,42,1,0,0,0,0
2022,2,0,61,1,0,0,0,0
2022,4,0,46,1,0,0,0,1
2022,3,0,54,1,0,0,0,0
